Name,Team,Age,GP,MPG,FTA,PPG,RPG,SPG,BPG
"David,Lee",Bos,32,30,15.7,51,7.1,4.3,0.4,0.43
"David,Lee",Dal,32,25,17.3,42,8.5,7,0.4,0.6
"David,West",San,35,78,18,80,7.1,4,0.56,0.71
"DeAndre,Jordan",Lac,27,77,33.7,619,12.7,13.8,0.68,2.29
"DeJuan,Blair",Was,26,29,7.5,13,2.1,2,0.28,0.07
"Delon,Wright",Tor,23,27,8.5,35,3.8,1.4,0.3,0.11
"DeMar,DeRozan",Tor,26,78,35.9,653,23.5,4.5,1.04,0.27
"DeMarcus,Cousins",Sac,25,65,34.6,663,26.9,11.5,1.55,1.42
"DeMarre,Carroll",Tor,29,26,30.2,50,11,4.7,1.69,0.23
"Dennis,Schroder",Atl,22,80,20.3,182,11,2.6,0.88,0.11
"Deron,Williams",Dal,31,65,32.4,206,14.1,2.9,0.94,0.22
"Derrick,Favors",Uta,24,62,32,254,16.4,8.1,1.19,1.47
"Derrick,Rose",Chi,27,66,31.8,179,16.4,3.4,0.67,0.21
"Derrick,Williams",Nyk,24,80,17.9,256,9.3,3.7,0.36,0.11
"Devin,Booker",Pho,19,76,27.7,256,13.8,2.5,0.58,0.26
"Devin,Harris",Dal,32,64,20,140,7.6,2.2,0.94,0.2
"Devyn,Marble",Orl,23,28,8.9,24,2.1,1.4,0.46,0.04
"Dewayne,Dedmon",Orl,26,58,12.2,76,4.4,3.9,0.38,0.79
"Dion,Waiters",Okc,24,78,27.6,157,9.8,2.6,1.04,0.19
"Dirk,Nowitzki",Dal,37,75,31.5,280,18.3,6.5,0.69,0.69
"Donald,Sloan",Bro,28,61,21.6,104,7,2.8,0.52,0.07
"Donatas,Motiejunas",Hou,25,37,14.8,53,6.2,2.9,0.46,0.14
"Doug,McDermott",Chi,24,81,23,84,9.4,2.4,0.17,0.07
"Draymond,Green",Gol,25,81,34.7,329,14,9.5,1.48,1.38
"Drew,Gooden",Was,34,30,10.2,14,2.7,2.8,0.27,0.37
"Dwight,Howard",Hou,30,71,32.1,474,13.7,11.8,0.97,1.59
"Dwight,Powell",Dal,24,69,14.4,142,5.8,4,0.52,0.35
"Dwyane,Wade",Mia,34,74,30.5,406,19,4.1,1.07,0.57
"Ed,Davis",Por,26,81,20.8,204,6.5,7.4,0.7,0.89
"Elfrid,Payton",Orl,21,73,29.4,190,10.7,3.6,1.22,0.27
"Elijah,Millsap",Uta,28,20,8.6,18,1.8,1.8,0.35,0.15
"Elliot,Williams",Mem,26,5,9,4,1.6,0.8,0,0
"Elton,Brand",Phi,36,17,13.2,9,4.1,3.7,0.53,0.47
"Emmanuel,Mudiay",Den,19,68,30.4,209,12.8,3.4,0.96,0.51
"Enes,Kanter",Okc,23,82,21,251,12.7,8.1,0.32,0.4
"Eric,Bledsoe",Pho,26,31,34.2,172,20.4,4,2.03,0.61
"Eric,Gordon",Nor,27,45,32.9,125,15.2,2.2,0.96,0.31
"Eric,Moreland",Sac,24,8,6,4,1,1.4,0,0.5
"Erick,Green",Uta,24,6,5.8,2,2.2,0.8,0.17,0
"Ersan,Ilyasova",Det,28,52,27.6,109,11.3,5.4,0.73,0.52
"Ersan,Ilyasova",Orl,28,22,20.3,45,8.1,5.5,0.64,0.27
"E'Twaun,Moore",Chi,26,59,21.4,35,7.5,2.3,0.63,0.31
"Evan,Fournier",Orl,23,79,32.5,238,15.4,2.8,1.22,0.03
"Evan,Turner",Bos,27,81,28,179,10.5,4.9,0.99,0.35
"Festus,Ezeli",Gol,26,46,16.7,132,7,5.6,0.39,1.09
"Frank,Kaminsky",Cha,22,81,21.1,148,7.5,4.1,0.46,0.53
"Garrett,Temple",Was,29,80,24.4,125,7.3,2.7,0.86,0.23
"Gary,Harris",Den,21,76,32.1,133,12.3,2.9,1.28,0.24
"Gary,Neal",Was,31,40,20.2,55,9.8,2.1,0.5,0.03
"George,Hill",Ind,29,74,34.1,150,12.1,4,1.12,0.23
"Gerald,Green",Mia,30,69,22.6,92,8.9,2.4,0.54,0.28
"Gerald,Henderson",Por,28,72,19.9,146,8.7,2.9,0.54,0.26
"Giannis,Antetokounmpo",Mil,21,80,35.3,409,16.9,7.7,1.18,1.41
"Glenn,Robinson",Ind,22,45,11.3,39,3.8,1.5,0.38,0.2
